window_start,Site,Ion,Concentration
1989-05-16,PRM,k_mgl,0.6855555555555556
1989-05-16,PRM,no3_ugl,59.625
1989-05-16,PRM,mg_mgl,1.96
1989-05-16,PRM,ca_mgl,6.483333333333333
1989-05-16,PRM,nh4_ugl,NA
1989-07-18,PRM,k_mgl,0.6614285714285714
1989-07-18,PRM,no3_ugl,73.71428571428571
1989-07-18,PRM,mg_mgl,1.5783333333333334
1989-07-18,PRM,ca_mgl,6.252857142857143
1989-07-18,PRM,nh4_ugl,NA
1989-09-19,PRM,k_mgl,1.21
1989-09-19,PRM,no3_ugl,273.8
1989-09-19,PRM,mg_mgl,2.194
1989-09-19,PRM,ca_mgl,6.906
1989-09-19,PRM,nh4_ugl,NA
1989-11-21,PRM,k_mgl,0.8825000000000001
1989-11-21,PRM,no3_ugl,112.71428571428571
1989-11-21,PRM,mg_mgl,2.572857142857143
1989-11-21,PRM,ca_mgl,9.21857142857143
1989-11-21,PRM,nh4_ugl,NA
1990-01-23,PRM,k_mgl,1.0688888888888888
1990-01-23,PRM,no3_ugl,209.22222222222223
1990-01-23,PRM,mg_mgl,2.106666666666667
1990-01-23,PRM,ca_mgl,8.71
1990-01-23,PRM,nh4_ugl,NA
1990-03-27,PRM,k_mgl,1.0077777777777777
1990-03-27,PRM,no3_ugl,143.33333333333334
1990-03-27,PRM,mg_mgl,2.152222222222222
1990-03-27,PRM,ca_mgl,9.083333333333334
1990-03-27,PRM,nh4_ugl,NA
1990-05-29,PRM,k_mgl,0.9544444444444444
1990-05-29,PRM,no3_ugl,187
1990-05-29,PRM,mg_mgl,2.002222222222222
1990-05-29,PRM,ca_mgl,8.342222222222222
1990-05-29,PRM,nh4_ugl,NA
1990-07-31,PRM,k_mgl,0.8522222222222222
1990-07-31,PRM,no3_ugl,131.88888888888889
1990-07-31,PRM,mg_mgl,2.1422222222222222
1990-07-31,PRM,ca_mgl,9.635555555555555
1990-07-31,PRM,nh4_ugl,NA
1990-10-02,PRM,k_mgl,0.77
1990-10-02,PRM,no3_ugl,126.125
1990-10-02,PRM,mg_mgl,1.9877777777777779
1990-10-02,PRM,ca_mgl,7.89
1990-10-02,PRM,nh4_ugl,NA
1990-12-04,PRM,k_mgl,0.6533333333333333
1990-12-04,PRM,no3_ugl,136.75
